dates,cases,deaths,recoveries
2020-01-30,1,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,1,1,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,1,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,1
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,2,0,0
2020-03-07,1,0,0
2020-03-08,4,0,0
2020-03-09,10,0,0
2020-03-10,13,0,1
2020-03-11,16,0,0
2020-03-12,3,1,0
2020-03-13,12,3,0
2020-03-14,47,3,0
2020-03-15,29,3,0
2020-03-16,2,1,0
2020-03-17,45,0,3
2020-03-18,15,7,0
2020-03-19,15,-2,3
2020-03-20,13,1,0
2020-03-21,77,1,5
2020-03-22,73,6,4
2020-03-23,82,8,0
2020-03-24,90,2,3
2020-03-25,84,3,6
2020-03-26,71,7,2
2020-03-27,96,9,3
2020-03-28,272,14,4
2020-03-29,343,3,7
2020-03-30,128,7,0
2020-03-31,538,10,7
2020-04-01,227,8,1
2020-04-02,322,11,1
2020-04-03,385,29,1
2020-04-04,76,8,5
2020-04-05,152,8,7
2020-04-06,414,11,9
2020-04-07,104,14,11
2020-04-08,106,5,12
2020-04-09,206,21,28
2020-04-10,119,18,16
2020-04-11,233,26,17
2020-04-12,220,50,40
2020-04-13,284,18,45
2020-04-14,291,20,53
2020-04-15,230,14,58
2020-04-16,207,13,82
2020-04-17,218,25,52
2020-04-18,209,10,29
2020-04-19,172,12,56
2020-04-20,200,19,41
2020-04-21,140,9,41
2020-04-22,111,9,39
2020-04-23,271,16,29
2020-04-24,211,15,40
2020-04-25,102,17,30
2020-04-26,285,7,70
2020-04-27,198,10,70
2020-04-28,181,19,43
2020-04-29,254,28,48
2020-04-30,276,10,20
2020-05-01,284,11,41
2020-05-02,156,24,40
2020-05-03,295,4,90
2020-05-04,262,16,101
2020-05-05,199,14,93
2020-05-06,320,21,98
2020-05-07,339,27,112
2020-05-08,120,11,116
2020-05-09,147,8,108
2020-05-10,184,15,82
2020-05-11,292,7,75
2020-05-12,264,25,107
2020-05-13,268,21,145
2020-05-14,258,18,86
2020-05-15,215,16,123
2020-05-16,214,11,101
2020-05-17,208,7,74
2020-05-18,205,7,94
2020-05-19,224,6,114
2020-05-20,279,5,89
2020-05-21,213,4,68
2020-05-22,163,11,92
2020-05-23,180,6,85
2020-05-24,258,5,72
2020-05-25,284,5,74
2020-05-26,350,13,89
2020-05-27,380,18,94
2020-05-28,539,17,92
2020-05-29,1046,21,122
2020-05-30,590,8,88
2020-05-31,862,7,101
2020-06-01,552,3,70
2020-06-02,359,6,84
2020-06-03,751,8,90
2020-06-04,634,10,95
2020-06-05,244,3,82
2020-06-06,714,7,111
2020-06-07,555,9,89
2020-06-08,579,8,107
2020-06-09,518,6,99
2020-06-10,740,10,159
2020-06-11,443,9,270
2020-06-12,612,16,289
2020-06-13,605,22,252
2020-06-14,538,14,248
2020-06-15,490,10,298
2020-06-16,361,5,300
2020-06-17,457,5,268
2020-06-18,561,8,270
2020-06-19,660,14,288
2020-06-20,941,20,272
2020-06-21,652,19,243
2020-06-22,630,8,250
2020-06-23,1143,9,299
2020-06-24,470,18,214
2020-06-25,774,8,254
2020-06-26,1004,12,272
2020-06-27,730,12,248
2020-06-28,652,8,256
2020-06-29,983,11,270
2020-06-30,1076,11,277
2020-07-01,997,4,205
2020-07-02,294,4,235
2020-07-03,1531,6,400
2020-07-04,1494,10,380
2020-07-05,2424,7,489
2020-07-06,2079,6,243
2020-07-07,1540,6,201
2020-07-08,2486,5,202
2020-07-09,1395,0,225
2020-07-10,1160,46,417
2020-07-11,1308,12,807
2020-07-12,2037,162,2009
2020-07-13,747,65,4325
2020-07-14,539,4,88
2020-07-15,1305,11,517
2020-07-16,2416,29,464
2020-07-17,1735,17,308
2020-07-18,2303,113,319
2020-07-19,2152,58,398
2020-07-20,1442,4,607
2020-07-21,1866,2,209
2020-07-22,1505,6,342
2020-07-23,2121,28,760
2020-07-24,2054,8,119
